frame_command_id,frame_set,command_NP,command_VP
1,frame4,UCO,use_command
2,frame7,UCO,use_command
3,frame13,UCO,use_command
4,frame16,UCO,use_command
5,frame31,EFL,use_command
6,frame32,EFL,use_command
7,frame33,EFL,use_command
8,frame36,EFL,use_command
9,frame38,UCO,use_command
10,frame40,UCO,use_command
11,frame42,EFL,use_command
12,frame44,EFL,use_command
13,frame46,UCO,use_command
14,frame47,EFL,use_command
15,frame49,UCO,use_command
16,frame52,UCO,use_command
17,frame58,EFL,use_command
18,frame60,EFL,use_command
19,frame62,EFL,use_command
20,frame64,UCO,use_command
21,frame74,TOC,use_command
22,frame75,TOC,use_command
23,frame79,TOC,use_command
24,frame80,TOC,use_command
25,frame82,UCO,use_command
26,frame83,EFL,use_command
27,frame85,EFL,use_command
28,frame88,UCO,use_command
29,frame89,EFL,use_command
30,frame89,EFL,use_command
31,frame90,TOC,use_command
32,frame95,EFL,use_command
33,frame97,UCO,use_command
34,frame98,EFL,use_command
35,frame100,UCO,use_command
36,frame102,EFL,use_command
37,frame103,UCO,use_command
38,frame105,UCO,use_command
39,frame106,EFL,use_command
40,frame107,UCO,use_command
41,frame110,TOC,use_command
42,frame112,TOC,use_command
43,frame115,UCO,use_command
44,frame117,UCO,use_command
45,frame119,EFL,use_command
46,frame122,UCO,use_command
47,frame122,TOC,use_command
48,frame126,EFL,use_command
49,frame129,EFL,use_command
50,frame132,UCO,use_command
51,frame134,UCO,use_command
52,frame135,EFL,use_command
53,frame137,EFL,use_command
54,frame139,EFL,use_command
55,frame140,TOC,use_command
56,frame141,TOC,use_command
57,frame142,TOC,use_command
58,frame143,UCO,use_command
59,frame150,UCO,use_command
60,frame150,UCO,use_command
61,frame153,EFL,use_command
62,frame154,UCO,use_command
63,frame155,EFL,use_command
64,frame161,UCO,use_command
65,frame162,UCO,use_command
66,frame163,TOC,use_command
67,frame163,TOC,use_command
68,frame167,TOC,use_command
69,frame169,EFL,use_command
70,frame170,UCO,use_command
71,frame172,UCO,use_command
72,frame173,EFL,use_command
73,frame175,EFL,use_command
74,frame178,UCO,use_command
75,frame180,UCO,use_command
76,frame181,EFL,use_command
77,frame182,UCO,use_command
78,frame183,EFL,use_command
79,frame184,EFL,use_command
80,frame189,UCO,use_command
81,frame191,UCO,use_command
82,frame191,EFL,use_command
83,frame192,UCO,use_command
84,frame195,EFL,use_command
85,frame197,TOC,use_command
86,frame198,TOC,use_command
87,frame200,TOC,use_command
88,frame205,TOC,use_command
89,frame206,TOC,use_command
90,frame207,TOC,use_command
91,frame209,TOC,use_command
92,frame211,TOC,use_command
93,frame213,TOC,use_command
94,frame214,TOC,use_command
95,frame218,HDG,use_command
96,frame219,TOC,use_command
97,frame221,HDG,use_command
98,frame222,UCO,use_command
99,frame225,UCO,use_command
100,frame228,UCO,use_command
101,frame228,UCO,use_command
102,frame229,EFL,use_command
103,frame231,UCO,use_command
104,frame232,EFL,use_command
105,frame232,UCO,use_command
106,frame234,TOC,use_command
107,frame239,UCO,use_command
108,frame242,UCO,use_command
109,frame243,EFL,use_command
110,frame246,HDG,use_command
111,frame248,UCO,use_command
112,frame249,TOC,use_command
113,frame251,UCO,use_command
114,frame252,EFL,use_command
115,frame254,UCO,use_command
116,frame255,TOC,use_command
117,frame256,TOC,use_command
118,frame258,TOC,use_command
119,frame260,EFL,use_command
120,frame265,TOC,use_command
121,frame269,HDG,use_command
122,frame269,TOC,use_command
123,frame270,TOC,use_command
124,frame273,UCO,use_command
125,frame274,EFL,use_command
126,frame276,TOC,use_command
127,frame277,TOC,use_command
128,frame280,UCO,use_command
129,frame282,EFL,use_command
130,frame282,TOC,use_command
131,frame283,TOC,use_command
132,frame288,UCO,use_command
133,frame289,UCO,use_command
134,frame293,EFL,use_command
135,frame298,EFL,use_command
136,frame299,UCO,use_command
137,frame300,EFL,use_command
138,frame301,TOC,use_command
139,frame302,TOC,use_command
140,frame303,TOC,use_command
141,frame305,UCO,use_command
142,frame306,EFL,use_command
143,frame307,TOC,use_command
144,frame317,TOC,use_command
145,frame318,TOC,use_command
146,frame320,TOC,use_command
147,frame325,EFL,use_command
148,frame327,TOC,use_command
149,frame337,TOC,use_command
150,frame339,TOC,use_command
151,frame346,EFL,use_command
152,frame349,TOC,use_command
153,frame350,TOC,use_command
154,frame351,TOC,use_command
155,frame353,TOC,use_command
156,frame354,TOC,use_command
